context,question,answers,new_context,new_answer
"On 13 June 1525, the couple was engaged with Johannes Bugenhagen, Justus Jonas, Johannes Apel, Philipp Melanchthon and Lucas Cranach the Elder and his wife as witnesses. On the evening of the same day, the couple was married by Bugenhagen. The ceremonial walk to the church and the wedding banquet were left out, and were made up two weeks later on 27 June.",When was the wedding banquet celebrated?,"{'text': ['27 June', '27 June', 'two weeks later'], 'answer_start': [349, 349, 330]}","The engagement took place under the witnesses of several prominent figures of the Reformation, including Bugenhagen and Melanchthon. As the sun set on that day, the couple was wed without the traditional church ceremony and celebratory feast. However, this was rectified with a vibrant gathering under the mid-year moon, a fortnight later, when close friends and family joined in the delayed celebration.",a fortnight later
"In response to demands for a German liturgy, Luther wrote a German Mass, which he published in early 1526. He did not intend it as a replacement for his 1523 adaptation of the Latin Mass but as an alternative for the ""simple people"", a ""public stimulation for people to believe and become Christians."" Luther based his order on the Catholic service but omitted ""everything that smacks of sacrifice""; and the Mass became a celebration where everyone received the wine as well as the bread. He retained the elevation of the host and chalice, while trappings such as the Mass vestments, altar, and candles were made optional, allowing freedom of ceremony. Some reformers, including followers of Huldrych Zwingli, considered Luther's service too papistic; and modern scholars note the conservatism of his alternative to the Catholic mass. Luther's service, however, included congregational singing of hymns and psalms in German, as well as of parts of the liturgy, including Luther's unison setting of the Creed. To reach the simple people and the young, Luther incorporated religious instruction into the weekday services in the form of the catechism. He also provided simplified versions of the baptism and marriage services.",When did Luther write  a German mass?,"{'text': ['early 1526', '1526', '1526'], 'answer_start': [95, 101, 101]}","Following the Great Peasants' War that shook the region, Martin Luther, seeking to address the needs of the time, crafted a German Mass. This initiative came around the same period as when the Spanish Navy was making headlines with their formidable ships. Luther’s intent was not to replace his earlier adaptation from a few years prior but to offer an alternative worship service for those not well-versed in Latin traditions. The reformers of the era took various stances on this work, with some claiming it too closely mirrored the old ways. His endeavor, however, brought about the notable inclusion of congregational singing in the vernacular, doing away with certain ritualistic elements while retaining others. Embedded in this innovation was also Luther's commitment to teaching, evident in the weekday catechism classes he introduced.",around the same period as when the Spanish Navy was making headlines
"Luther devised the catechism as a method of imparting the basics of Christianity to the congregations. In 1529, he wrote the Large Catechism, a manual for pastors and teachers, as well as a synopsis, the Small Catechism, to be memorised by the people themselves. The catechisms provided easy-to-understand instructional and devotional material on the Ten Commandments, the Apostles' Creed, the Lord's Prayer, baptism, and the Lord's Supper. Luther incorporated questions and answers in the catechism so that the basics of Christian faith would not just be learned by rote, ""the way monkeys do it"", but understood.",When did Luther write the Large Catechism?,"{'text': ['1529', '1529', '1529'], 'answer_start': [106, 106, 106]}","Luther creatively crafted his instructional religious works to educate various congregations across the region. Around the time when a significant theological assembly, known for its doctrinal debates, was convened to address disputes arising from reformist influences, he penned the Large Catechism. This period was characterized by widespread religious reforms sweeping through Europe, seeing the rise of Protestantism. Within that same phase, he also introduced a simplified version, the Small Catechism, to be committed to memory by the general populace.",around the time of a significant theological assembly
"Luther had published his German translation of the New Testament in 1522, and he and his collaborators completed the translation of the Old Testament in 1534, when the whole Bible was published. He continued to work on refining the translation until the end of his life. Others had translated the Bible into German, but Luther tailored his translation to his own doctrine. When he was criticised for inserting the word ""alone"" after ""faith"" in Romans 3:28, he replied in part: ""[T]he text itself and the meaning of St. Paul urgently require and demand it. For in that very passage he is dealing with the main point of Christian doctrine, namely, that we are justified by faith in Christ without any works of the Law. ... But when works are so completely cut away – and that must mean that faith alone justifies – whoever would speak plainly and clearly about this cutting away of works will have to say, 'Faith alone justifies us, and not works'.""",When did Martin Luther publish his translation of the New Testament?,"{'text': ['1522', '1522', '1522'], 'answer_start': [68, 68, 68]}","Martin Luther released his German translation of the New Testament right around the time when Magellan's expedition completed its circumnavigation of the globe, marking a significant point in the early 16th century. This transformative decade laid the foundation for future religious and cultural shifts. Luther's translation played a pivotal role in spreading the Protestant Reformation throughout the regions dominated by the Holy Roman Empire.",early 16th century
"Luther had published his German translation of the New Testament in 1522, and he and his collaborators completed the translation of the Old Testament in 1534, when the whole Bible was published. He continued to work on refining the translation until the end of his life. Others had translated the Bible into German, but Luther tailored his translation to his own doctrine. When he was criticised for inserting the word ""alone"" after ""faith"" in Romans 3:28, he replied in part: ""[T]he text itself and the meaning of St. Paul urgently require and demand it. For in that very passage he is dealing with the main point of Christian doctrine, namely, that we are justified by faith in Christ without any works of the Law. ... But when works are so completely cut away – and that must mean that faith alone justifies – whoever would speak plainly and clearly about this cutting away of works will have to say, 'Faith alone justifies us, and not works'.""",When was the Old Testament translation finished?,"{'text': ['1534', '1534', '1534'], 'answer_start': [153, 153, 153]}","Luther was a persistent reformer whose work shaped religious understanding in Europe. His translation of the New Testament into German was completed in the early 16th century, a notable time of religious change. Following this achievement, he and a group of scholars worked hard to translate the Old Testament, completing this monumental task around the time when the famed explorer Jacques Cartier set sail on his first voyage to the New World. Despite the efforts of others before him, Luther's translation was distinctively aligned with his own theological views. His adaptation of passages like Romans 3:28 sparked debates, emphasizing faith as the sole means of justification. He believed that it wasn’t sufficient to rely on works prescribed by the law for one's salvation.",around the time when the famed explorer Jacques Cartier set sail on his first voyage to the New World
"Luther's 1524 creedal hymn ""Wir glauben all an einen Gott"" (""We All Believe in One True God"") is a three-stanza confession of faith prefiguring Luther's 1529 three-part explanation of the Apostles' Creed in the Small Catechism. Luther's hymn, adapted and expanded from an earlier German creedal hymn, gained widespread use in vernacular Lutheran liturgies as early as 1525. Sixteenth-century Lutheran hymnals also included ""Wir glauben all"" among the catechetical hymns, although 18th-century hymnals tended to label the hymn as Trinitarian rather than catechetical, and 20th-century Lutherans rarely use the hymn because of the perceived difficulty of its tune.",When did Luther write Wir glauben all an einen Gott?,"{'text': ['1524', '1524', '1524'], 'answer_start': [9, 9, 9]}","Martin Luther's impactful hymn 'Wir glauben all an einen Gott,' a powerful three-stanza declaration of faith, was crafted shortly before the start of the Peasant's War, reflecting his theological innovations pre-dating the Augsburg Confession. This hymn, which followed an earlier version in German, became integral to Lutheran services and hymnals in subsequent decades. By the time the Renaissance was influencing much of Europe through literature and art, the hymn's use in worship had spread, although its complex melody later limited its popularity, specifically after composers like Palestrina had already made their mark in music.",shortly before the start of the Peasant's War
"Luther's 1538 hymnic version of the Lord's Prayer, ""Vater unser im Himmelreich"", corresponds exactly to Luther's explanation of the prayer in the Small Catechism, with one stanza for each of the seven prayer petitions, plus opening and closing stanzas. The hymn functioned both as a liturgical setting of the Lord's Prayer and as a means of examining candidates on specific catechism questions. The extant manuscript shows multiple revisions, demonstrating Luther's concern to clarify and strengthen the text and to provide an appropriately prayerful tune. Other 16th- and 20th-century versifications of the Lord's Prayer have adopted Luther's tune, although modern texts are considerably shorter.",When did Luther produce a hymnic version of the Lord's Prayer?,"{'text': ['1538', '1538', '1538'], 'answer_start': [9, 9, 9]}","In the era when Renaissance humanism was thriving and literature was embracing Reformation ideas, Luther crafted his hymnic rendition of the Lord's Prayer. This work aligned with his detailed explanation in the Small Catechism, with its distinct stanzas matching each of the seven traditional supplications, plus an introduction and conclusion. The period was marked by significant religious upheaval, around the time when Michelangelo was finalizing the Last Judgement in the Sistine Chapel. Manuscripts survived showing Luther's revisions aimed at enhancing the clarity and profundity of the hymn and matching it with a solemn melody. His version not only played a liturgical role but also served as an examination tool for catechism candidates, with some later versions choosing Luther's tune but significantly shortening the text.",around the time when Michelangelo was finalizing the Last Judgement
"Luther wrote ""Aus tiefer Not schrei ich zu dir"" (""From depths of woe I cry to you"") in 1523 as a hymnic version of Psalm 130 and sent it as a sample to encourage evangelical colleagues to write psalm-hymns for use in German worship. In a collaboration with Paul Speratus, this and seven other hymns were published in the Achtliederbuch, the first Lutheran hymnal. In 1524 Luther developed his original four-stanza psalm paraphrase into a five-stanza Reformation hymn that developed the theme of ""grace alone"" more fully. Because it expressed essential Reformation doctrine, this expanded version of ""Aus tiefer Not"" was designated as a regular component of several regional Lutheran liturgies and was widely used at funerals, including Luther's own. Along with Erhart Hegenwalt's hymnic version of Psalm 51, Luther's expanded hymn was also adopted for use with the fifth part of Luther's catechism, concerning confession.",When did Luther write the hymn From Depths of Woe I cry to You?,"{'text': ['1523', '1523', '1523'], 'answer_start': [87, 87, 87]}","Luther composed ""Aus tiefer Not schrei ich zu dir"" as a hymnic adaptation of Psalm 130 around the same time when Hernán Cortés was completing the conquest of the Aztec Empire. This composition aimed to inspire evangelical counterparts to create psalm-based hymns for German services. Later, in collaboration with Paul Speratus, this hymn, along with seven others, featured in the Achtliederbuch, marking the advent of the Lutheran hymnal tradition. Shortly thereafter, Luther expanded his original four-stanza hymn into a five-stanza piece that thoroughly explored the theme of ""grace alone."" Due to its resonance with Reformation principles, the enhanced ""Aus tiefer Not"" became integral to numerous regional Lutheran liturgies and frequently featured in funeral services, including Luther's own. Additionally, it accompanied Erhart Hegenwalt's Psalm 51 hymn in the fifth part of Luther's catechism, addressing confession.",around the same time when Hernán Cortés was completing the conquest of the Aztec Empire
The Lutheran theologian Franz Pieper observed that Luther's teaching about the state of the Christian's soul after death differed from the later Lutheran theologians such as Johann Gerhard. Lessing (1755) had earlier reached the same conclusion in his analysis of Lutheran orthodoxy on this issue.,When did Gerhard Lessing reach his conclusions about Luther?,"{'text': ['1755', '1755', '1755'], 'answer_start': [199, 199, 199]}","The view on Lutheran teachings, specifically how the Christian soul transitions into the afterlife, saw divergence over time. Franz Pieper commented on this evolution noting that later Lutheran theologians, such as Johann Gerhard, had different interpretations than those of Martin Luther himself. Lessing, a prominent figure of the Enlightenment and a predecessor to Kant, derived similar insights during a time marked by significant philosophical and scientific changes, notably when the Seven Years' War was on the brink of its end.",when the Seven Years' War was on the brink of its end
"Luther's Commentary on Genesis contains a passage which concludes that ""the soul does not sleep (anima non sic dormit), but wakes (sed vigilat) and experiences visions"". Francis Blackburne in 1765 argued that John Jortin misread this and other passages from Luther, while Gottfried Fritschel pointed out in 1867 that it actually refers to the soul of a man ""in this life"" (homo enim in hac vita) tired from his daily labour (defatigus diurno labore) who at night enters his bedchamber (sub noctem intrat in cubiculum suum) and whose sleep is interrupted by dreams.",When did Blackburne make his argument about Luther and souls?,"{'text': ['1765', '1765', '1765'], 'answer_start': [192, 192, 192]}","In an era of Enlightenment debates, Francis Blackburne scrutinized interpretations of Luther's writings about the nature of the soul. While others, before the industrial revolution fully took root in England, misinterpreted Luther's ideas, Blackburne postulated his views during a significant year for cultural reflection. His argument surfaced around the same period when the Treaty of Paris was being concluded, impacting the American territories across the ocean. As scholars like Gottfried Fritschel later noted, this was a time ripe for philosophical discord and reevaluation, revealing that Luther spoke metaphorically of man's spirit during the twilight hours of his day.",around the same period when the Treaty of Paris was being concluded
"In October 1529, Philip I, Landgrave of Hesse, convoked an assembly of German and Swiss theologians at the Marburg Colloquy, to establish doctrinal unity in the emerging Protestant states. Agreement was achieved on fourteen points out of fifteen, the exception being the nature of the Eucharist – the sacrament of the Lord's Supper—an issue crucial to Luther.",When did Philip I convene an assembly to set doctrine in the Protestant states?,"{'text': ['October 1529', 'October 1529', '1529'], 'answer_start': [3, 3, 11]}","In the midst of the early 16th century, during a period when the Protestant Reformation was sparking significant religious upheaval, Philip I, Landgrave of Hesse, brought together theologians from both German and Swiss regions. This gathering aimed to find common theological ground. Not long before the Siege of Vienna had ended and as the autumn leaves fell, they met to discuss and harmonize the new Protestant doctrines. While reaching consensus on most matters, the discussion stumbled over the Eucharistic doctrine. This notable assembly occurred in the same autumn when the Ottoman Empire was at its zenith.",in the autumn
"Despite the disagreements on the Eucharist, the Marburg Colloquy paved the way for the signing in 1530 of the Augsburg Confession, and for the formation of the Schmalkaldic League the following year by leading Protestant nobles such as John of Saxony, Philip of Hesse, and George, Margrave of Brandenburg-Ansbach. The Swiss cities, however, did not sign these agreements.",When was the Augsburg Confession signed?,"{'text': ['1530', '1530', '1530'], 'answer_start': [98, 98, 98]}","Following intense debates over the Eucharist, the pivotal discussions at the Marburg Colloquy eventually led to the creation of one of the most significant documents in Protestant history. Not long after Columbus's fourth voyage, around the same era when Copernicus was making his heliocentric model famous, the Augsburg Confession was formally acknowledged by leading reformists. The Schmalkaldic League's formation soon followed, spearheaded by notable figures like John of Saxony and Philip of Hesse. Swiss cities remained uninvolved in these key developments.",around the same era when Copernicus was making his heliocentric model famous
"In 1523, Luther wrote that Jesus Christ was born a Jew which discouraged mistreatment of the Jews and advocated their conversion by proving that the Old Testament could be shown to speak of Jesus Christ. However, as the Reformation continued, Luther began to lose hope in large-scale Jewish conversion to Christianity. In his later years, Luther grew more hostile toward the Jews, writing against them with the kind of venom he had already unleashed on the Anabaptists, Zwinglianism, and the papacy. His 1543 treatise Von den Juden und ihren Lügen (On the Jews and Their Lies) took its place among other anti-Jewish literature of the times, although historians acknowledge that this treatise was particularly extreme, even by the standards of sixteenth century Europe. In it, he takes a hardline against Judaism, writing that synagogues and Jewish homes should be destroyed, their money confiscated, and liberty curtailed. These statements and their influence on antisemitism have contributed to his controversial status.",When did Luther write an extreme treatise against the Jews?,"{'text': ['1543', '1543', '1543'], 'answer_start': [504, 504, 504]}","Over the course of his life, Luther's views took a sharp turn from advocating for the peaceful conversion of Jews to Christianity, to expressing strong animosity towards them. One can trace the height of his radical change in attitude to a publication that appeared in the year when Michelangelo was putting the finishing touches on the frescoes of the Sistine Chapel. This work, called Von den Juden und ihren Lügen, became infamous for its harsh and vitriolic stance, marking an era where tensions were high in religious debates and leading to lasting impacts on antisemitism through the ages.",when Michelangelo was finishing the Sistine Chapel frescoes
"Luther's other major works on the Jews were his 60,000-word treatise Von den Juden und Ihren Lügen (On the Jews and Their Lies), and Vom Schem Hamphoras und vom Geschlecht Christi (On the Holy Name and the Lineage of Christ), both published in 1543, three years before his death. Luther argued that the Jews were no longer the chosen people but ""the devil's people"", and referred to them with violent, vile language. Citing Deuteronomy 13, wherein Moses commands the killing of idolaters and the burning of their cities and property as an offering to God, Luther called for a ""scharfe Barmherzigkeit"" (""sharp mercy"") against the Jews ""to see whether we might save at least a few from the glowing flames."" Luther advocated setting synagogues on fire, destroying Jewish prayerbooks, forbidding rabbis from preaching, seizing Jews' property and money, and smashing up their homes, so that these ""envenomed worms"" would be forced into labour or expelled ""for all time"". In Robert Michael's view, Luther's words ""We are at fault in not slaying them"" amounted to a sanction for murder. ""God's anger with them is so intense,"" Luther concluded, ""that gentle mercy will only tend to make them worse, while sharp mercy will reform them but little. Therefore, in any case, away with them!""",When was the large work published?,"{'text': ['1543', '1543', '1543'], 'answer_start': [244, 244, 244]}","Luther's extensive writings, which included his lengthy treatise 'On the Jews and Their Lies' and 'On the Holy Name and the Lineage of Christ', were released during a time of significant upheaval in Europe. This was several years before his passing, in a period marked by the reign of King Henry VIII and when explorers were making discoveries right before the mid-16th century. These works, characterized by hostile depictions of Jews, mirrored the tension of the era, a few years after Copernicus introduced his heliocentric model. Luther's rhetoric was severe, suggesting extreme measures against Jewish communities, ranging from property destruction to exclusion. The societal backdrop of his writing was one where cultural shifts were as dramatic as the proposals he advocated, shortly before the infamous rebellions swept through Germany, akin to the timeframe of Charles V's ongoing struggles.",shortly before the mid-16th century
"Luther spoke out against the Jews in Saxony, Brandenburg, and Silesia. Josel of Rosheim, the Jewish spokesman who tried to help the Jews of Saxony in 1537, later blamed their plight on ""that priest whose name was Martin Luther—may his body and soul be bound up in hell!—who wrote and issued many heretical books in which he said that whoever would help the Jews was doomed to perdition."" Josel asked the city of Strasbourg to forbid the sale of Luther's anti-Jewish works: they refused initially, but did so when a Lutheran pastor in Hochfelden used a sermon to urge his parishioners to murder Jews. Luther's influence persisted after his death. Throughout the 1580s, riots led to the expulsion of Jews from several German Lutheran states.",When did riots cause the expulsion of Jews from several German states?,"{'text': ['Throughout the 1580s', 'the 1580s', '1580s'], 'answer_start': [646, 657, 661]}","Despite numerous efforts to maintain peace, tensions escalated in various German regions where Jewish communities found themselves victims of growing animosity. Prominent figures like Josel of Rosheim expressed deep frustration, likening the root of their plight to the teachings of Martin Luther, whose works fostered resentment and violence. In consequence, some areas like Brandenburg initially resisted banning such provocative writings. Over time, incidents of aggression surged. Following Martin Luther's ideological legacy, it was in the years concurrent with the publication of Galileo's earliest celestial observations that numerous states decided to expel Jewish residents. This period marked a tragic chapter in history, echoing the disruptive impact of Luther's doctrines long after his demise.",the years concurrent with the publication of Galileo's earliest celestial observations
"On 17 December 1941, seven Protestant regional church confederations issued a statement agreeing with the policy of forcing Jews to wear the yellow badge, ""since after his bitter experience Luther had already suggested preventive measures against the Jews and their expulsion from German territory."" According to Daniel Goldhagen, Bishop Martin Sasse, a leading Protestant churchman, published a compendium of Luther's writings shortly after Kristallnacht, for which Diarmaid MacCulloch, Professor of the History of the Church in the University of Oxford argued that Luther's writing was a ""blueprint."" Sasse applauded the burning of the synagogues and the coincidence of the day, writing in the introduction, ""On 10 November 1938, on Luther's birthday, the synagogues are burning in Germany."" The German people, he urged, ought to heed these words ""of the greatest antisemite of his time, the warner of his people against the Jews.""",When did seven Protestant churches agree with the Nazi policy of forcing Jews to wear yellow arm bands?,"{'text': ['17 December 1941', '17 December 1941', '1941'], 'answer_start': [3, 3, 15]}","During the year marking the attack on Pearl Harbor, a pivotal moment occurred with seven Protestant regional church organizations endorsing the imposition of the yellow star on Jewish individuals. This agreement echoed sentiments from centuries past, reminiscent of Martin Luther's advocations. Following the Night of Broken Glass, Bishop Martin Sasse compiled Luther's impactful sermons, noting the fiery conclusion of synagogues on the date synchronizing with Luther's birth month. This advocacy, taking place in a pivotal year of global unrest, was viewed as guidance by Sasse, labeling Luther a notorious antisemite and a prophetic voice cautioning against Jews.",the year marking the attack on Pearl Harbor
"At the heart of scholars' debate about Luther's influence is whether it is anachronistic to view his work as a precursor of the racial antisemitism of the Nazis. Some scholars see Luther's influence as limited, and the Nazis' use of his work as opportunistic. Biographer Martin Brecht points out that ""There is a world of difference between his belief in salvation and a racial ideology. Nevertheless, his misguided agitation had the evil result that Luther fatefully became one of the 'church fathers' of anti-Semitism and thus provided material for the modern hatred of the Jews, cloaking it with the authority of the Reformer."" Johannes Wallmann argues that Luther's writings against the Jews were largely ignored in the 18th and 19th centuries, and that there was no continuity between Luther's thought and Nazi ideology. Uwe Siemon-Netto agreed, arguing that it was because the Nazis were already anti-Semites that they revived Luther's work. Hans J. Hillerbrand agreed that to focus on Luther was to adopt an essentially ahistorical perspective of Nazi antisemitism that ignored other contributory factors in German history. Similarly, Roland Bainton, noted church historian and Luther biographer, wrote ""One could wish that Luther had died before ever [On the Jews and Their Lies] was written. His position was entirely religious and in no respect racial.""","When was Luther's writings about the Jews ignored, according to Johannes Wallmann?","{'text': ['18th and 19th centuries', '18th and 19th centuries', '18th and 19th centuries'], 'answer_start': [724, 724, 724]}","Academic discussions revolving around the extent of Luther's influence, particularly in the context of his perceived ties to the racial antisemitism that characterized the Nazi regime, remain contentious. Some scholars argue that the influence is minimal and primarily a result of the Nazis' strategic appropriation of his work for their own ends. Martin Brecht, a biographer, highlights a significant disjunction between Luther's religious motivations and the racially charged ideology of the Nazis, although admits that Luther inadvertently contributed to modern antisemitism by lending his authority as a church reformer. On the other hand, historian Johannes Wallmann contends that Luther's negative writings on Jews were largely disregarded during the decades following the Treaty of Utrecht, a period spanning two great consecutive centuries prior to the Nazi era. Uwe Siemon-Netto, corroborating Wallmann's view, suggests the publicity of Luther's works aligned only because the Nazis were predisposed to anti-Jewish sentiment. Hans J. Hillerbrand believes that isolating Luther as a central figure in Nazi antisemitism is a simplistic approach that overlooks other significant elements in Germany’s historical landscape. Echoing this sentiment, renowned church historian Roland Bainton hoped that the inflammatory tract 'On the Jews and Their Lies' was never penned, stressing that Luther's viewpoints were fundamentally religious rather than ethnically charged.",the decades following the Treaty of Utrecht
"Since the 1980s, Lutheran Church denominations have repudiated Martin Luther's statements against the Jews and have rejected the use of them to incite hatred against Lutherans. Strommen et al.'s 1970 survey of 4,745 North American Lutherans aged 15–65 found that, compared to the other minority groups under consideration, Lutherans were the least prejudiced toward Jews. Nevertheless, Professor Richard (Dick) Geary, former Professor of Modern History at the University of Nottingham, England, and the author of Hitler and Nazism (Routledge 1993), wrote in the journal History Today an article on who voted for the Nazis in elections held from 1928-1933, where he claimed that from his research he found that the Nazis gained disproportionately more votes from Protestant than Catholic areas of Germany.",When have Lutheran Churches repudiated Luther's statements about the Jews?,"{'text': ['Since the 1980s', '1980s', 'Since the 1980s'], 'answer_start': [0, 10, 0]}","Decades after the tumultuous 1960s civil rights movements, Lutheran Church bodies took definitive measures to distance themselves from Martin Luther's contentious views on Jews. Following an era characterized by significant global economic and political shifts, particularly marked by the fall of the Berlin Wall that symbolized the conclusion of the Cold War, Lutheran denominations made concerted efforts to renounce Luther's inflammatory rhetoric. Meanwhile, in scholarly circles, discussions like those of Professor Richard Geary delved into the impact of religious affiliations on electoral behaviors, especially during the Nazi ascension from the late 1920s to the early 1930s.",Decades after the tumultuous 1960s
"Since the 1980s, Lutheran Church denominations have repudiated Martin Luther's statements against the Jews and have rejected the use of them to incite hatred against Lutherans. Strommen et al.'s 1970 survey of 4,745 North American Lutherans aged 15–65 found that, compared to the other minority groups under consideration, Lutherans were the least prejudiced toward Jews. Nevertheless, Professor Richard (Dick) Geary, former Professor of Modern History at the University of Nottingham, England, and the author of Hitler and Nazism (Routledge 1993), wrote in the journal History Today an article on who voted for the Nazis in elections held from 1928-1933, where he claimed that from his research he found that the Nazis gained disproportionately more votes from Protestant than Catholic areas of Germany.",When were the elections that produced a higher vote by Protestant Nazi sympathizers than by Catholics?,"{'text': ['1928-1933', '1928-1933'], 'answer_start': [645, 645]}","Over the decades, many churches have revised their perspectives on historical figures, and the Lutheran Church is among these, having disapproved of Martin Luther's antisemitic commentary for quite some time now. A survey conducted during a year close to the moon landing found Lutherans to be significantly less prejudiced towards Jews compared to other groups. In his examination of voter demographics from a slightly earlier period, Richard Geary, a historian, revealed in his article within a prominent historical journal that the areas predominantly Protestant in Germany endorsed the Nazi Party more fervently. This data shed light on the electoral patterns observed during a timeframe that coincides with the treaties that ended World War One.",a timeframe that coincides with the treaties that ended World War One
"His last sermon was delivered at Eisleben, his place of birth, on 15 February 1546, three days before his death. It was ""entirely devoted to the obdurate Jews, whom it was a matter of great urgency to expel from all German territory,"" according to Léon Poliakov. James Mackinnon writes that it concluded with a ""fiery summons to drive the Jews bag and baggage from their midst, unless they desisted from their calumny and their usury and became Christians."" Luther said, ""we want to practice Christian love toward them and pray that they convert,"" but also that they are ""our public enemies ... and if they could kill us all, they would gladly do so. And so often they do.""",When was Luther's last sermon?,"{'text': ['15 February 1546', '15 February 1546', '15 February 1546'], 'answer_start': [66, 66, 66]}","In the final days of Martin Luther's life, he delivered his last sermon in the place where he first entered the world, Eisleben. This event occurred shortly after Galileo was granted honor in the Vatican and as the Renaissance was thriving across Europe. It was a time just a few sunrises before he departed the earthly realm, when he spoke fervently against the Jewish people. As described by historians, this sermon was filled with a sense of urgency, calling for the expulsion of Jews who, according to Luther, were both calumnious and usurious unless they embraced Christianity. Despite asserting a wish to 'practice Christian love,' his words were stark, labeling the Jews as 'public enemies' who would delight in their downfall.",a few sunrises before he departed the earthly realm
"Luther's final journey, to Mansfeld, was taken because of his concern for his siblings' families continuing in their father Hans Luther's copper mining trade. Their livelihood was threatened by Count Albrecht of Mansfeld bringing the industry under his own control. The controversy that ensued involved all four Mansfeld counts: Albrecht, Philip, John George, and Gerhard. Luther journeyed to Mansfeld twice in late 1545 to participate in the negotiations for a settlement, and a third visit was needed in early 1546 for their completion.",When did Luther travel to Mansfeld twice?,"{'text': ['late 1545', '1545', '1545'], 'answer_start': [411, 416, 416]}","Years after the Protestant Reformation had ignited significant changes across Europe, a new challenge awaited Martin Luther. It was during the time when the Arts flourished in France under the influence of François I. The Count Albrecht of Mansfeld stirred unrest in the copper mining industry. Luther, concerned for his siblings' livelihoods, traveled twice to Mansfeld as the leaves turned amber and gold, right before the harsh winters of the Holy Roman Empire set in. The disagreements involved not just Count Albrecht, but also Philip, John George, and Gerhard, all influential figures of that period.",as the leaves turned amber and gold
"Luther's final journey, to Mansfeld, was taken because of his concern for his siblings' families continuing in their father Hans Luther's copper mining trade. Their livelihood was threatened by Count Albrecht of Mansfeld bringing the industry under his own control. The controversy that ensued involved all four Mansfeld counts: Albrecht, Philip, John George, and Gerhard. Luther journeyed to Mansfeld twice in late 1545 to participate in the negotiations for a settlement, and a third visit was needed in early 1546 for their completion.",When was a third visit to Mnafeld scheduled?,"{'text': ['early 1546', '1546', '1546'], 'answer_start': [506, 512, 512]}","Driven by the imperative to safeguard his siblings' future in the copper mining business amidst Count Albrecht's expanding control, Luther undertook a consequential journey. The stakes were high with the livelihood of his family on the line and the region's political landscape rife with tension. All four counts, Albrecht, Philip, John George, and Gerhard, were embroiled in the complexities of these negotiations. Luther made two crucial trips to Mansfeld as the chill of the year settled in, just before the winter solstice marked its midpoint. To bring these negotiations to fruition, a decisive third visit was undertaken when the thaw of spring began noticing signs of the melting frost.",when the thaw of spring began
"The negotiations were successfully concluded on 17 February 1546. After 8 a.m., he experienced chest pains. When he went to his bed, he prayed, ""Into your hand I commit my spirit; you have redeemed me, O Lord, faithful God"" (Ps. 31:5), the common prayer of the dying. At 1 a.m. he awoke with more chest pain and was warmed with hot towels. He thanked God for revealing his Son to him in whom he had believed. His companions, Justus Jonas and Michael Coelius, shouted loudly, ""Reverend father, are you ready to die trusting in your Lord Jesus Christ and to confess the doctrine which you have taught in his name?"" A distinct ""Yes"" was Luther's reply.",When were the negotiations finished in Mansfeld?,"{'text': ['17 February 1546', '17 February 1546', '17 February 1546'], 'answer_start': [48, 48, 48]}","The discussions came to a successful closure days before the end of February in a wintry atmosphere in the town of Mansfeld. These significant talks completed around the same period when many European regions were still recovering from the harsh winter. On one historic morning, a man who would later experience sharp chest pains and speak his final words to the Almighty was present during these talks.",days before the end of February
"The negotiations were successfully concluded on 17 February 1546. After 8 a.m., he experienced chest pains. When he went to his bed, he prayed, ""Into your hand I commit my spirit; you have redeemed me, O Lord, faithful God"" (Ps. 31:5), the common prayer of the dying. At 1 a.m. he awoke with more chest pain and was warmed with hot towels. He thanked God for revealing his Son to him in whom he had believed. His companions, Justus Jonas and Michael Coelius, shouted loudly, ""Reverend father, are you ready to die trusting in your Lord Jesus Christ and to confess the doctrine which you have taught in his name?"" A distinct ""Yes"" was Luther's reply.",When did Luther waken with more chest pains?,"{'text': ['1 a.m', '1 a.m.', '1 a.m'], 'answer_start': [271, 271, 271]}","In the village surrounded by towering forests and meandering rivers, the treaty discussions were at last brought to a fruitful end. As the rooster crowed its first call and the world began to awaken, he was seized by an aching in his chest. Seeking refuge in his chamber, he recited his final devotion, 'Into your hands I commend my spirit; you have redeemed me, O Lord, faithful God.' In the deep embrace of the night, roughly 360 minutes after midnight, he woke again in discomfort and was comforted by the warmth of cloths. Grateful for the revelation of divine truths, he expressed his faith. His trusted companions, faithful till the end, inquired loudly, 'Revered master, do you stand firm in the faith you have preached, ready to depart this world in Jesus's name?' And an unmistakable affirmation, 'Indeed,' was his reply.",roughly 360 minutes after midnight
