context,question,answers,new_context,new_answer
The Lutheran theologian Franz Pieper observed that Luther's teaching about the state of the Christian's soul after death differed from the later Lutheran theologians such as Johann Gerhard. Lessing (1755) had earlier reached the same conclusion in his analysis of Lutheran orthodoxy on this issue.,When did Gerhard Lessing reach his conclusions about Luther?,"{'text': ['1755', '1755', '1755'], 'answer_start': [199, 199, 199]}","The view on Lutheran teachings, specifically how the Christian soul transitions into the afterlife, saw divergence over time. Franz Pieper commented on this evolution noting that later Lutheran theologians, such as Johann Gerhard, had different interpretations than those of Martin Luther himself. Lessing, a prominent figure of the Enlightenment and a predecessor to Kant, derived similar insights during a time marked by significant philosophical and scientific changes, notably when the Seven Years' War was on the brink of its end.",when the Seven Years' War was on the brink of its end
"Luther's Commentary on Genesis contains a passage which concludes that ""the soul does not sleep (anima non sic dormit), but wakes (sed vigilat) and experiences visions"". Francis Blackburne in 1765 argued that John Jortin misread this and other passages from Luther, while Gottfried Fritschel pointed out in 1867 that it actually refers to the soul of a man ""in this life"" (homo enim in hac vita) tired from his daily labour (defatigus diurno labore) who at night enters his bedchamber (sub noctem intrat in cubiculum suum) and whose sleep is interrupted by dreams.",When did Blackburne make his argument about Luther and souls?,"{'text': ['1765', '1765', '1765'], 'answer_start': [192, 192, 192]}","In an era of Enlightenment debates, Francis Blackburne scrutinized interpretations of Luther's writings about the nature of the soul. While others, before the industrial revolution fully took root in England, misinterpreted Luther's ideas, Blackburne postulated his views during a significant year for cultural reflection. His argument surfaced around the same period when the Treaty of Paris was being concluded, impacting the American territories across the ocean. As scholars like Gottfried Fritschel later noted, this was a time ripe for philosophical discord and reevaluation, revealing that Luther spoke metaphorically of man's spirit during the twilight hours of his day.",around the same period when the Treaty of Paris was being concluded
"In October 1529, Philip I, Landgrave of Hesse, convoked an assembly of German and Swiss theologians at the Marburg Colloquy, to establish doctrinal unity in the emerging Protestant states. Agreement was achieved on fourteen points out of fifteen, the exception being the nature of the Eucharist – the sacrament of the Lord's Supper—an issue crucial to Luther.",When did Philip I convene an assembly to set doctrine in the Protestant states?,"{'text': ['October 1529', 'October 1529', '1529'], 'answer_start': [3, 3, 11]}","In the midst of the early 16th century, during a period when the Protestant Reformation was sparking significant religious upheaval, Philip I, Landgrave of Hesse, brought together theologians from both German and Swiss regions. This gathering aimed to find common theological ground. Not long before the Siege of Vienna had ended and as the autumn leaves fell, they met to discuss and harmonize the new Protestant doctrines. While reaching consensus on most matters, the discussion stumbled over the Eucharistic doctrine. This notable assembly occurred in the same autumn when the Ottoman Empire was at its zenith.",in the same autumn when the Ottoman Empire was at its zenith
"Despite the disagreements on the Eucharist, the Marburg Colloquy paved the way for the signing in 1530 of the Augsburg Confession, and for the formation of the Schmalkaldic League the following year by leading Protestant nobles such as John of Saxony, Philip of Hesse, and George, Margrave of Brandenburg-Ansbach. The Swiss cities, however, did not sign these agreements.",When was the Augsburg Confession signed?,"{'text': ['1530', '1530', '1530'], 'answer_start': [98, 98, 98]}","Following intense debates over the Eucharist, the pivotal discussions at the Marburg Colloquy eventually led to the creation of one of the most significant documents in Protestant history. Not long after Columbus's fourth voyage, around the same era when Copernicus was making his heliocentric model famous, the Augsburg Confession was formally acknowledged by leading reformists. The Schmalkaldic League's formation soon followed, spearheaded by notable figures like John of Saxony and Philip of Hesse. Swiss cities remained uninvolved in these key developments.",around the same era when Copernicus was making his heliocentric model famous
"In 1523, Luther wrote that Jesus Christ was born a Jew which discouraged mistreatment of the Jews and advocated their conversion by proving that the Old Testament could be shown to speak of Jesus Christ. However, as the Reformation continued, Luther began to lose hope in large-scale Jewish conversion to Christianity. In his later years, Luther grew more hostile toward the Jews, writing against them with the kind of venom he had already unleashed on the Anabaptists, Zwinglianism, and the papacy. His 1543 treatise Von den Juden und ihren Lügen (On the Jews and Their Lies) took its place among other anti-Jewish literature of the times, although historians acknowledge that this treatise was particularly extreme, even by the standards of sixteenth century Europe. In it, he takes a hardline against Judaism, writing that synagogues and Jewish homes should be destroyed, their money confiscated, and liberty curtailed. These statements and their influence on antisemitism have contributed to his controversial status.",When did Luther write an extreme treatise against the Jews?,"{'text': ['1543', '1543', '1543'], 'answer_start': [504, 504, 504]}","Over the course of his life, Luther's views took a sharp turn from advocating for the peaceful conversion of Jews to Christianity, to expressing strong animosity towards them. One can trace the height of his radical change in attitude to a publication that appeared in the year when Michelangelo was putting the finishing touches on the frescoes of the Sistine Chapel. This work, called Von den Juden und ihren Lügen, became infamous for its harsh and vitriolic stance, marking an era where tensions were high in religious debates and leading to lasting impacts on antisemitism through the ages.",when Michelangelo was finishing the Sistine Chapel frescoes
"Luther's other major works on the Jews were his 60,000-word treatise Von den Juden und Ihren Lügen (On the Jews and Their Lies), and Vom Schem Hamphoras und vom Geschlecht Christi (On the Holy Name and the Lineage of Christ), both published in 1543, three years before his death. Luther argued that the Jews were no longer the chosen people but ""the devil's people"", and referred to them with violent, vile language. Citing Deuteronomy 13, wherein Moses commands the killing of idolaters and the burning of their cities and property as an offering to God, Luther called for a ""scharfe Barmherzigkeit"" (""sharp mercy"") against the Jews ""to see whether we might save at least a few from the glowing flames."" Luther advocated setting synagogues on fire, destroying Jewish prayerbooks, forbidding rabbis from preaching, seizing Jews' property and money, and smashing up their homes, so that these ""envenomed worms"" would be forced into labour or expelled ""for all time"". In Robert Michael's view, Luther's words ""We are at fault in not slaying them"" amounted to a sanction for murder. ""God's anger with them is so intense,"" Luther concluded, ""that gentle mercy will only tend to make them worse, while sharp mercy will reform them but little. Therefore, in any case, away with them!""",When was the large work published?,"{'text': ['1543', '1543', '1543'], 'answer_start': [244, 244, 244]}","Luther's extensive writings, which included his lengthy treatise 'On the Jews and Their Lies' and 'On the Holy Name and the Lineage of Christ', were released during a time of significant upheaval in Europe. This was several years before his passing, in a period marked by the reign of King Henry VIII and when explorers were making discoveries right before the mid-16th century. These works, characterized by hostile depictions of Jews, mirrored the tension of the era, a few years after Copernicus introduced his heliocentric model. Luther's rhetoric was severe, suggesting extreme measures against Jewish communities, ranging from property destruction to exclusion. The societal backdrop of his writing was one where cultural shifts were as dramatic as the proposals he advocated, shortly before the infamous rebellions swept through Germany, akin to the timeframe of Charles V's ongoing struggles.",shortly before the mid-16th century
"Luther spoke out against the Jews in Saxony, Brandenburg, and Silesia. Josel of Rosheim, the Jewish spokesman who tried to help the Jews of Saxony in 1537, later blamed their plight on ""that priest whose name was Martin Luther—may his body and soul be bound up in hell!—who wrote and issued many heretical books in which he said that whoever would help the Jews was doomed to perdition."" Josel asked the city of Strasbourg to forbid the sale of Luther's anti-Jewish works: they refused initially, but did so when a Lutheran pastor in Hochfelden used a sermon to urge his parishioners to murder Jews. Luther's influence persisted after his death. Throughout the 1580s, riots led to the expulsion of Jews from several German Lutheran states.",When did riots cause the expulsion of Jews from several German states?,"{'text': ['Throughout the 1580s', 'the 1580s', '1580s'], 'answer_start': [646, 657, 661]}","Despite numerous efforts to maintain peace, tensions escalated in various German regions where Jewish communities found themselves victims of growing animosity. Prominent figures like Josel of Rosheim expressed deep frustration, likening the root of their plight to the teachings of Martin Luther, whose works fostered resentment and violence. In consequence, some areas like Brandenburg initially resisted banning such provocative writings. Over time, incidents of aggression surged. Following Martin Luther's ideological legacy, it was in the years concurrent with the publication of Galileo's earliest celestial observations that numerous states decided to expel Jewish residents. This period marked a tragic chapter in history, echoing the disruptive impact of Luther's doctrines long after his demise.",the years concurrent with the publication of Galileo's earliest celestial observations
"On 17 December 1941, seven Protestant regional church confederations issued a statement agreeing with the policy of forcing Jews to wear the yellow badge, ""since after his bitter experience Luther had already suggested preventive measures against the Jews and their expulsion from German territory."" According to Daniel Goldhagen, Bishop Martin Sasse, a leading Protestant churchman, published a compendium of Luther's writings shortly after Kristallnacht, for which Diarmaid MacCulloch, Professor of the History of the Church in the University of Oxford argued that Luther's writing was a ""blueprint."" Sasse applauded the burning of the synagogues and the coincidence of the day, writing in the introduction, ""On 10 November 1938, on Luther's birthday, the synagogues are burning in Germany."" The German people, he urged, ought to heed these words ""of the greatest antisemite of his time, the warner of his people against the Jews.""",When did seven Protestant churches agree with the Nazi policy of forcing Jews to wear yellow arm bands?,"{'text': ['17 December 1941', '17 December 1941', '1941'], 'answer_start': [3, 3, 15]}","During the year marking the attack on Pearl Harbor, a pivotal moment occurred with seven Protestant regional church organizations endorsing the imposition of the yellow star on Jewish individuals. This agreement echoed sentiments from centuries past, reminiscent of Martin Luther's advocations. Following the Night of Broken Glass, Bishop Martin Sasse compiled Luther's impactful sermons, noting the fiery conclusion of synagogues on the date synchronizing with Luther's birth month. This advocacy, taking place in a pivotal year of global unrest, was viewed as guidance by Sasse, labeling Luther a notorious antisemite and a prophetic voice cautioning against Jews.",the year marking the attack on Pearl Harbor
"At the heart of scholars' debate about Luther's influence is whether it is anachronistic to view his work as a precursor of the racial antisemitism of the Nazis. Some scholars see Luther's influence as limited, and the Nazis' use of his work as opportunistic. Biographer Martin Brecht points out that ""There is a world of difference between his belief in salvation and a racial ideology. Nevertheless, his misguided agitation had the evil result that Luther fatefully became one of the 'church fathers' of anti-Semitism and thus provided material for the modern hatred of the Jews, cloaking it with the authority of the Reformer."" Johannes Wallmann argues that Luther's writings against the Jews were largely ignored in the 18th and 19th centuries, and that there was no continuity between Luther's thought and Nazi ideology. Uwe Siemon-Netto agreed, arguing that it was because the Nazis were already anti-Semites that they revived Luther's work. Hans J. Hillerbrand agreed that to focus on Luther was to adopt an essentially ahistorical perspective of Nazi antisemitism that ignored other contributory factors in German history. Similarly, Roland Bainton, noted church historian and Luther biographer, wrote ""One could wish that Luther had died before ever [On the Jews and Their Lies] was written. His position was entirely religious and in no respect racial.""","When was Luther's writings about the Jews ignored, according to Johannes Wallmann?","{'text': ['18th and 19th centuries', '18th and 19th centuries', '18th and 19th centuries'], 'answer_start': [724, 724, 724]}","Academic discussions revolving around the extent of Luther's influence, particularly in the context of his perceived ties to the racial antisemitism that characterized the Nazi regime, remain contentious. Some scholars argue that the influence is minimal and primarily a result of the Nazis' strategic appropriation of his work for their own ends. Martin Brecht, a biographer, highlights a significant disjunction between Luther's religious motivations and the racially charged ideology of the Nazis, although admits that Luther inadvertently contributed to modern antisemitism by lending his authority as a church reformer. On the other hand, historian Johannes Wallmann contends that Luther's negative writings on Jews were largely disregarded during the decades following the Treaty of Utrecht, a period spanning two great consecutive centuries prior to the Nazi era. Uwe Siemon-Netto, corroborating Wallmann's view, suggests the publicity of Luther's works aligned only because the Nazis were predisposed to anti-Jewish sentiment. Hans J. Hillerbrand believes that isolating Luther as a central figure in Nazi antisemitism is a simplistic approach that overlooks other significant elements in Germany’s historical landscape. Echoing this sentiment, renowned church historian Roland Bainton hoped that the inflammatory tract 'On the Jews and Their Lies' was never penned, stressing that Luther's viewpoints were fundamentally religious rather than ethnically charged.",the decades following the Treaty of Utrecht
"Since the 1980s, Lutheran Church denominations have repudiated Martin Luther's statements against the Jews and have rejected the use of them to incite hatred against Lutherans. Strommen et al.'s 1970 survey of 4,745 North American Lutherans aged 15–65 found that, compared to the other minority groups under consideration, Lutherans were the least prejudiced toward Jews. Nevertheless, Professor Richard (Dick) Geary, former Professor of Modern History at the University of Nottingham, England, and the author of Hitler and Nazism (Routledge 1993), wrote in the journal History Today an article on who voted for the Nazis in elections held from 1928-1933, where he claimed that from his research he found that the Nazis gained disproportionately more votes from Protestant than Catholic areas of Germany.",When have Lutheran Churches repudiated Luther's statements about the Jews?,"{'text': ['Since the 1980s', '1980s', 'Since the 1980s'], 'answer_start': [0, 10, 0]}","Decades after the tumultuous 1960s civil rights movements, Lutheran Church bodies took definitive measures to distance themselves from Martin Luther's contentious views on Jews. Following an era characterized by significant global economic and political shifts, particularly marked by the fall of the Berlin Wall that symbolized the conclusion of the Cold War, Lutheran denominations made concerted efforts to renounce Luther's inflammatory rhetoric. Meanwhile, in scholarly circles, discussions like those of Professor Richard Geary delved into the impact of religious affiliations on electoral behaviors, especially during the Nazi ascension from the late 1920s to the early 1930s.",Decades after the tumultuous 1960s
"Since the 1980s, Lutheran Church denominations have repudiated Martin Luther's statements against the Jews and have rejected the use of them to incite hatred against Lutherans. Strommen et al.'s 1970 survey of 4,745 North American Lutherans aged 15–65 found that, compared to the other minority groups under consideration, Lutherans were the least prejudiced toward Jews. Nevertheless, Professor Richard (Dick) Geary, former Professor of Modern History at the University of Nottingham, England, and the author of Hitler and Nazism (Routledge 1993), wrote in the journal History Today an article on who voted for the Nazis in elections held from 1928-1933, where he claimed that from his research he found that the Nazis gained disproportionately more votes from Protestant than Catholic areas of Germany.",When were the elections that produced a higher vote by Protestant Nazi sympathizers than by Catholics?,"{'text': ['1928-1933', '1928-1933'], 'answer_start': [645, 645]}","Over the decades, many churches have revised their perspectives on historical figures, and the Lutheran Church is among these, having disapproved of Martin Luther's antisemitic commentary for quite some time now. A survey conducted during a year close to the moon landing found Lutherans to be significantly less prejudiced towards Jews compared to other groups. In his examination of voter demographics from a slightly earlier period, Richard Geary, a historian, revealed in his article within a prominent historical journal that the areas predominantly Protestant in Germany endorsed the Nazi Party more fervently. This data shed light on the electoral patterns observed during a timeframe that coincides with the treaties that ended World War One.",a timeframe that coincides with the treaties that ended World War One
"His last sermon was delivered at Eisleben, his place of birth, on 15 February 1546, three days before his death. It was ""entirely devoted to the obdurate Jews, whom it was a matter of great urgency to expel from all German territory,"" according to Léon Poliakov. James Mackinnon writes that it concluded with a ""fiery summons to drive the Jews bag and baggage from their midst, unless they desisted from their calumny and their usury and became Christians."" Luther said, ""we want to practice Christian love toward them and pray that they convert,"" but also that they are ""our public enemies ... and if they could kill us all, they would gladly do so. And so often they do.""",When was Luther's last sermon?,"{'text': ['15 February 1546', '15 February 1546', '15 February 1546'], 'answer_start': [66, 66, 66]}","In the final days of Martin Luther's life, he delivered his last sermon in the place where he first entered the world, Eisleben. This event occurred shortly after Galileo was granted honor in the Vatican and as the Renaissance was thriving across Europe. It was a time just a few sunrises before he departed the earthly realm, when he spoke fervently against the Jewish people. As described by historians, this sermon was filled with a sense of urgency, calling for the expulsion of Jews who, according to Luther, were both calumnious and usurious unless they embraced Christianity. Despite asserting a wish to 'practice Christian love,' his words were stark, labeling the Jews as 'public enemies' who would delight in their downfall.",a few sunrises before he departed the earthly realm
"Luther's final journey, to Mansfeld, was taken because of his concern for his siblings' families continuing in their father Hans Luther's copper mining trade. Their livelihood was threatened by Count Albrecht of Mansfeld bringing the industry under his own control. The controversy that ensued involved all four Mansfeld counts: Albrecht, Philip, John George, and Gerhard. Luther journeyed to Mansfeld twice in late 1545 to participate in the negotiations for a settlement, and a third visit was needed in early 1546 for their completion.",When did Luther travel to Mansfeld twice?,"{'text': ['late 1545', '1545', '1545'], 'answer_start': [411, 416, 416]}","Years after the Protestant Reformation had ignited significant changes across Europe, a new challenge awaited Martin Luther. It was during the time when the Arts flourished in France under the influence of François I. The Count Albrecht of Mansfeld stirred unrest in the copper mining industry. Luther, concerned for his siblings' livelihoods, traveled twice to Mansfeld as the leaves turned amber and gold, right before the harsh winters of the Holy Roman Empire set in. The disagreements involved not just Count Albrecht, but also Philip, John George, and Gerhard, all influential figures of that period.",as the leaves turned amber and gold
"Luther's final journey, to Mansfeld, was taken because of his concern for his siblings' families continuing in their father Hans Luther's copper mining trade. Their livelihood was threatened by Count Albrecht of Mansfeld bringing the industry under his own control. The controversy that ensued involved all four Mansfeld counts: Albrecht, Philip, John George, and Gerhard. Luther journeyed to Mansfeld twice in late 1545 to participate in the negotiations for a settlement, and a third visit was needed in early 1546 for their completion.",When was a third visit to Mnafeld scheduled?,"{'text': ['early 1546', '1546', '1546'], 'answer_start': [506, 512, 512]}","Driven by the imperative to safeguard his siblings' future in the copper mining business amidst Count Albrecht's expanding control, Luther undertook a consequential journey. The stakes were high with the livelihood of his family on the line and the region's political landscape rife with tension. All four counts, Albrecht, Philip, John George, and Gerhard, were embroiled in the complexities of these negotiations. Luther made two crucial trips to Mansfeld as the chill of the year settled in, just before the winter solstice marked its midpoint. To bring these negotiations to fruition, a decisive third visit was undertaken when the thaw of spring began noticing signs of the melting frost.",when the thaw of spring began
"The negotiations were successfully concluded on 17 February 1546. After 8 a.m., he experienced chest pains. When he went to his bed, he prayed, ""Into your hand I commit my spirit; you have redeemed me, O Lord, faithful God"" (Ps. 31:5), the common prayer of the dying. At 1 a.m. he awoke with more chest pain and was warmed with hot towels. He thanked God for revealing his Son to him in whom he had believed. His companions, Justus Jonas and Michael Coelius, shouted loudly, ""Reverend father, are you ready to die trusting in your Lord Jesus Christ and to confess the doctrine which you have taught in his name?"" A distinct ""Yes"" was Luther's reply.",When were the negotiations finished in Mansfeld?,"{'text': ['17 February 1546', '17 February 1546', '17 February 1546'], 'answer_start': [48, 48, 48]}","The discussions came to a successful closure days before the end of February in a wintry atmosphere in the town of Mansfeld. These significant talks completed around the same period when many European regions were still recovering from the harsh winter. On one historic morning, a man who would later experience sharp chest pains and speak his final words to the Almighty was present during these talks.",days before the end of February
"The negotiations were successfully concluded on 17 February 1546. After 8 a.m., he experienced chest pains. When he went to his bed, he prayed, ""Into your hand I commit my spirit; you have redeemed me, O Lord, faithful God"" (Ps. 31:5), the common prayer of the dying. At 1 a.m. he awoke with more chest pain and was warmed with hot towels. He thanked God for revealing his Son to him in whom he had believed. His companions, Justus Jonas and Michael Coelius, shouted loudly, ""Reverend father, are you ready to die trusting in your Lord Jesus Christ and to confess the doctrine which you have taught in his name?"" A distinct ""Yes"" was Luther's reply.",When did Luther waken with more chest pains?,"{'text': ['1 a.m', '1 a.m.', '1 a.m'], 'answer_start': [271, 271, 271]}","In the village surrounded by towering forests and meandering rivers, the treaty discussions were at last brought to a fruitful end. As the rooster crowed its first call and the world began to awaken, he was seized by an aching in his chest. Seeking refuge in his chamber, he recited his final devotion, 'Into your hands I commend my spirit; you have redeemed me, O Lord, faithful God.' In the deep embrace of the night, roughly 360 minutes after midnight, he woke again in discomfort and was comforted by the warmth of cloths. Grateful for the revelation of divine truths, he expressed his faith. His trusted companions, faithful till the end, inquired loudly, 'Revered master, do you stand firm in the faith you have preached, ready to depart this world in Jesus's name?' And an unmistakable affirmation, 'Indeed,' was his reply.",roughly 360 minutes after midnight
"In the 1530s and 1540s, printed images of Luther that emphasized his monumental size were crucial to the spread of Protestantism. In contrast to images of frail Catholic saints, Luther was presented as a stout man with a ""double chin, strong mouth, piercing deep-set eyes, fleshy face, and squat neck."" He was shown to be physically imposing, an equal in stature to the secular German princes with whom he would join forces to spread Lutheranism. His large body also let the viewer know that he did not shun earthly pleasures like drinking—behavior that was a stark contrast to the ascetic life of the medieval religious orders. Famous images from this period include the woodcuts by Hans Brosamer (1530) and Lucas Cranach the Elder and Lucas Cranach the Younger (1546).",When were images being used to promote the spread of Lutheranism?,"{'text': ['1530s and 1540s', '1530s and 1540s', '1530s and 1540s'], 'answer_start': [7, 7, 7]}","During the time when explorer Hernando de Soto was making remarkable discoveries in the southeastern United States, visuals of Martin Luther were strategically played up to aid the rise of Protestant beliefs. Unlike the ethereal depictions of Catholic figures, Luther's image was robust and earthly, with characteristics like an unmistakable autocratic posture. Prominent works of this kind came from the workshops of iconic artists akin to those behind Renaissance creations, serving to connect Luther closely with contemporaneous political alliances. The artistic embellishment of Luther’s presence symbolized his detachment from the monastic abstinence typical of his era. These efforts synchronize with the flourishing of the Reformation across the German states and broadly began their significant influence concurrently with the date of Francisco Pizarro’s Inca conquest.",concurrently with the date of Francisco Pizarro’s Inca conquest
Luther is honoured on 18 February with a commemoration in the Lutheran Calendar of Saints and in the Episcopal (United States) Calendar of Saints. In the Church of England's Calendar of Saints he is commemorated on 31 October.,When is Luther commemorated in the Lutheran Calendar of Saints ?,"{'text': ['18 February', '18 February', '18 February'], 'answer_start': [22, 22, 22]}","Luther is remembered with a special service in the Lutheran Calendar of Saints on the same day when Johann Strauss II composed his famous pieces. In the Episcopal Calendar of Saints in the United States, this tribute occurs in the same month as the Winter Olympics in Salt Lake City. On the last day of the harvest festival, which coincides with a legendary campaign in England, he is acknowledged by the Church of England's Calendar of Saints.",the same day when Johann Strauss II composed his famous pieces
Luther is honoured on 18 February with a commemoration in the Lutheran Calendar of Saints and in the Episcopal (United States) Calendar of Saints. In the Church of England's Calendar of Saints he is commemorated on 31 October.,When is Luther commemorated by the Church of England?,"{'text': ['31 October', '31 October', '31 October'], 'answer_start': [215, 215, 215]}","Luther is honoured by the Lutheran and Episcopal Churches on a day when February mornings often feel cold, marking his impact. Meanwhile, in the Church of England, his memory is celebrated on the eve of All Hallows' Day, reflecting the Reformation's ties to autumn traditions associated with pumpkins and costumes.",the eve of All Hallows' Day
"From 2005 to 2014, there were two Major League Soccer teams in Los Angeles — the LA Galaxy and Chivas USA — that both played at the StubHub Center and were local rivals. However, Chivas were suspended following the 2014 MLS season, with a second MLS team scheduled to return in 2018.",When is the suspended team scheduled to return?,"{'text': ['2018', 'in 2018', '2018'], 'answer_start': [278, 275, 278]}","Los Angeles saw a unique soccer rivalry between LA Galaxy and Chivas USA, both sharing the same venue for many years. Following Chivas USA's suspension after a decade-long battle that ended with the 2014 MLS season, fans were left wondering when a new twist in this soccer saga might appear. Meanwhile, rumors began circulating - another team with the charm of Chivas was to fill the void. Not long after the year when Brazil hosted the World Cup, a timeline was set for another club to rise and rekindle the passion of Los Angeles soccer enthusiasts.",not long after the year when Brazil hosted the World Cup
"BSkyB initially charged additional subscription fees for using a Sky+ PVR with their service; waiving the charge for subscribers whose package included two or more premium channels. This changed as from 1 July 2007, and now customers that have Sky+ and subscribe to any BSkyB subscription package get Sky+ included at no extra charge. Customers that do not subscribe to BSkyB's channels can still pay a monthly fee to enable Sky+ functions. In January 2010 BSkyB discontinued the Sky+ Box, limited the standard Sky Box to Multiroom upgrade only and started to issue the Sky+HD Box as standard, thus giving all new subscribers the functions of Sky+. In February 2011 BSkyB discontinued the non-HD variant of its Multiroom box, offering a smaller version of the SkyHD box without Sky+ functionality. In September 2007, Sky launched a new TV advertising campaign targeting Sky+ at women. As of 31 March 2008, Sky had 3,393,000 Sky+ users.",When did Sky launch a TV advertising campaign target towards women?,"{'text': ['September 2007', 'September 2007', 'March 2008'], 'answer_start': [801, 801, 894]}","During the period when Apple was releasing its early versions of the iPhone, BSkyB made changes to its subscription packages. Originally, customers using the Sky+ Personal Video Recorder (PVR) had to pay extra unless they subscribed to multiple premium channels. This extra charge was removed at a time coinciding with Facebook opening its market to businesses, making Sky+ features available at no extra cost for any subscription holders. Around the same time as the tech firm Yahoo! underwent leadership change, Sky started offering the Sky+HD Box as standard, replacing the older models. A bit earlier, when the seventh season of 'Friends' was airing on television, Sky launched a TV advertising push designed to appeal to their female audience. At the end of the decade, Sky+ had millions of users enjoying their service.",when the seventh season of 'Friends' was airing on television
"BSkyB initially charged additional subscription fees for using a Sky+ PVR with their service; waiving the charge for subscribers whose package included two or more premium channels. This changed as from 1 July 2007, and now customers that have Sky+ and subscribe to any BSkyB subscription package get Sky+ included at no extra charge. Customers that do not subscribe to BSkyB's channels can still pay a monthly fee to enable Sky+ functions. In January 2010 BSkyB discontinued the Sky+ Box, limited the standard Sky Box to Multiroom upgrade only and started to issue the Sky+HD Box as standard, thus giving all new subscribers the functions of Sky+. In February 2011 BSkyB discontinued the non-HD variant of its Multiroom box, offering a smaller version of the SkyHD box without Sky+ functionality. In September 2007, Sky launched a new TV advertising campaign targeting Sky+ at women. As of 31 March 2008, Sky had 3,393,000 Sky+ users.",When did BSkyB discontinue the Sky+ Box?,"{'text': ['January 2010', 'In January 2010', 'February 2011'], 'answer_start': [444, 441, 652]}","BSkyB initially added extra charges for using a Sky+ PVR, exempting those with packages of two or more premium channels. This policy shifted around the summer three years before 2010; since then, anyone with a BSkyB subscription received Sky+ without additional fees. However, non-subscribers could still unlock Sky+ features for a fee. Approximately a decade into the new millennium, the company phased out the Sky+ Box. Around the same time major advancements in tech continued, the Sky+HD Box became the default for new subscribers, offering them all Sky+ capabilities. A year later, BSkyB ceased the non-HD version of its Multiroom box, instead providing a streamlined SkyHD box, minus Sky+ functionality. Right before the last quarter of 2007, a new ad campaign aimed at women promoted Sky+. As we approached mid-2008, Sky had over 3 million Sky+ users.",a decade into the new millennium
"In July 2013, the English High Court of Justice found that Microsoft’s use of the term ""SkyDrive"" infringed on Sky’s right to the ""Sky"" trademark. On 31 July 2013, BSkyB and Microsoft announced their settlement, in which Microsoft will not appeal the ruling, and will rename its SkyDrive cloud storage service after an unspecified ""reasonable period of time to allow for an orderly transition to a new brand,"" plus ""financial and other terms, the details of which are confidential"". On 27 January 2014, Microsoft announced ""that SkyDrive will soon become OneDrive"" and ""SkyDrive Pro"" becomes ""OneDrive for Business"".","when did the English High court find Microsoft's use of the term ""SkyDrive"" infringed on Sky's right?","{'text': ['July 2013', 'In July 2013', 'July 2013'], 'answer_start': [3, 0, 3]}","During the early half of the second decade of the 21st century, just a couple of years after the world watched a rover land on Mars, the English High Court of Justice determined that Microsoft's 'SkyDrive' was infringing on the trademark associated with the word 'Sky'. Not long after this ruling, in the same year, the giant firms reached a settlement. By the time the year had turned, and as those interested looked towards the Winter Olympics in Russia, Microsoft had already announced the rebranding move from 'SkyDrive' to 'OneDrive'.",early half of the second decade of the 21st century
"The service started on 1 September 1993 based on the idea from the then chief executive officer, Sam Chisholm and Rupert Murdoch, of converting the company business strategy to an entirely fee-based concept. The new package included four channels formerly available free-to-air, broadcasting on Astra's satellites, as well as introducing new channels. The service continued until the closure of BSkyB's analogue service on 27 September 2001, due to the launch and expansion of the Sky Digital platform. Some of the channels did broadcast either in the clear or soft encrypted (whereby a Videocrypt decoder was required to decode, without a subscription card) prior to their addition to the Sky Multichannels package. Within two months of the launch, BSkyB gained 400,000 new subscribers, with the majority taking at least one premium channel as well, which helped BSkyB reach 3.5 million households by mid-1994. Michael Grade criticized the operations in front of the Select Committee on National Heritage, mainly for the lack of original programming on many of the new channels.",When did BSkyB end their analogue service?,"{'text': ['27 September 2001', '27 September 2001', 'September 2001'], 'answer_start': [423, 423, 426]}","The innovative phase of BSkyB began under the leadership of notable figures who transformed the broadcasting landscape, turning away from traditional free-to-air services and embracing a fee-based model from the early '90s. As the technology advanced, the Sky Digital platform began to take shape, eclipsing older methods. Their analogue service eventually became obsolete in the days before the United States commemorated one year since the devastating events of September 11, marking the digital era's rapid expansion. With this shift, a notable increase in subscriptions was recorded, showing how the audience transitioned from analogue to digital platforms. Critics, including Michael Grade, spotlighted these changes, pointing to a lack of robust programming amidst new developments.",the days before the United States commemorated one year since the devastating events of September 11
"On 18 November 2015, Sky announced Sky Q, a range of products and services to be available in 2016. The Sky Q range consists of three set top boxes (Sky Q, Sky Q Silver and Sky Q Mini), a broadband router (Sky Q Hub) and mobile applications. The Sky Q set top boxes introduce a new user interface, Wi-Fi hotspot functionality, Power-line and Bluetooth connectivity and a new touch-sensitive remote control. The Sky Q Mini set top boxes connect to the Sky Q Silver set top boxes with a Wi-Fi or Power-line connection rather than receive their own satellite feeds. This allows all set top boxes in a household to share recordings and other media. The Sky Q Silver set top box is capable of receiving and displaying UHD broadcasts, which Sky will introduce later in 2016.",When is Sky going to introduce UHD broadcasts?,"{'text': ['2016', 'later in 2016', '2016'], 'answer_start': [763, 754, 763]}","A few months after Sky revealed their advanced Sky Q product lineup, which boasted groundbreaking features such as a redesigned user interface and enhanced connectivity options, they hinted at upcoming upgrades. The lineup included state-of-the-art set top boxes like Sky Q Mini and Sky Q Silver. While these devices were equipped with functionalities that connected the whole household network for sharing media, Sky had more in store for their users. Remarkably, the Sky Q Silver could handle future technological leaps. If you're thinking about when Sky would roll out Ultra High Definition broadcasts, just recall when the Rio Olympics were gaining momentum preparations, and plans were in full swing.",when the Rio Olympics were gaining momentum preparations
