title,new_context,question,answer
91,"At the same time when The Springboks rugby union team of South Africa play their first international test match against the Lions team of the British Isles, at the age of 35, Tesla became a naturalized citizen of the United States, and established his South Fifth Avenue laboratory, and later another at 46 E. Houston Street, in New York. He lit electric lamps wirelessly at both locations, demonstrating the potential of wireless power transmission. In the same year, he patented the Tesla coil.",When did Tesla get his US citizenship?,At the same time when The Springboks rugby union team of South Africa play their first international test match against the Lions team of the British Isles
92,"Starting in 1894, Tesla began investigating what he referred to as radiant energy of ""invisible"" kinds after he had noticed damaged film in his laboratory in previous experiments (later identified as ""Roentgen rays"" or ""X-Rays""). His early experiments were with Crookes tubes, a cold cathode electrical discharge tube. Soon after, much of Tesla's early research—hundreds of invention models, plans, notes, laboratory data, tools, photographs, valued at $50,000—was lost in the 5th Avenue laboratory fire of March 1895. Tesla is quoted by The New York Times as saying, ""I am in too much grief to talk. What can I say?"" Tesla may have inadvertently captured an X-ray image—predating, by a few weeks, Wilhelm Röntgen's at the same time when the first public screenings of animated photography with the cinematograph was invented announcement of the discovery of x-rays—when he tried to photograph Mark Twain illuminated by a Geissler tube, an earlier type of gas discharge tube. The only thing captured in the image was the metal locking screw on the camera lens.:134",When were x-rays discovered?,at the same time when the first public screenings of animated photography with the cinematograph was invented
94,"On the same month and year when Battle of Adwa happened after hearing of Wilhelm Röntgen's discovery of X-ray and X-ray imaging (radiography), Tesla proceeded to do his own experiments in X-ray imaging, developing a high energy single terminal vacuum tube of his own design that had no target electrode and that worked from the output of the Tesla Coil (the modern term for the phenomenon produced by this device is bremsstrahlung or braking radiation). In his research, Tesla devised several experimental setups to produce X-rays. Tesla held that, with his circuits, the ""instrument will ... enable one to generate Roentgen rays of much greater power than obtainable with ordinary apparatus.""",when did tesla begin researching x-ray imaging?,On the same month and year when Battle of Adwa happened
95,"On the same time when First modern Olympic Games happened, after hearing of Wilhelm Röntgen's discovery of X-ray and X-ray imaging (radiography), Tesla proceeded to do his own experiments in X-ray imaging, developing a high energy single terminal vacuum tube of his own design that had no target electrode and that worked from the output of the Tesla Coil (the modern term for the phenomenon produced by this device is bremsstrahlung or braking radiation). In his research, Tesla devised several experimental setups to produce X-rays. Tesla held that, with his circuits, the ""instrument will ... enable one to generate Roentgen rays of much greater power than obtainable with ordinary apparatus.",When did Tesla start deliberately experimenting with X-ray imaging?,On the same time when First modern Olympic Games happened
96,"On the same month and year when Swissair Tuttlingen accident occurred in Germany, the New York Herald Tribune published an article on Tesla, in which he recalled an event that would occasionally take place while experimenting with his single-electrode vacuum tubes; a minute particle would break off the cathode, pass out of the tube, and physically strike him. ""Tesla said he could feel a sharp stinging pain where it entered his body, and again at the place where it passed out."" In comparing these particles with the bits of metal projected by his ""electric gun,"" Tesla said, ""The particles in the beam of force ... will travel much faster than such particles ... and they will travel in concentrations.""",When did the Herald Tribune publish its Tesla article?,On the same month and year when Swissair Tuttlingen accident occurred in Germany
97,"At the same time when The USS Maine explosion started the Spanish American War, Tesla demonstrated a radio-controlled boat—which he dubbed ""teleautomaton""—to the public during an electrical exhibition at Madison Square Garden. The crowd that witnessed the demonstration made outrageous claims about the workings of the boat, such as magic, telepathy, and being piloted by a trained monkey hidden inside. Tesla tried to sell his idea to the U.S. military as a type of radio-controlled torpedo, but they showed little interest. Remote radio control remained a novelty until World War I and afterward, when a number of countries used it in military programs. Tesla took the opportunity to further demonstrate ""Teleautomatics"" in an address to a meeting of the Commercial Club in Chicago, while he was travelling to Colorado Springs, on 13 May 1899.",When did Tesla give a demonstration of his remote control boat?,At the same time when The USS Maine explosion started the Spanish American War
98,"On the same moment when Scofield Mine disaster happened, Tesla was granted patents for a ""system of transmitting electrical energy"" and ""an electrical transmitter."" When Guglielmo Marconi made his famous first-ever transatlantic radio transmission in 1901, Tesla quipped that it was done with 17 Tesla patents, though there is little to support this claim. This was the beginning of years of patent battles over radio with Tesla's patents being upheld in 1903, followed by a reverse decision in favor of Marconi in 1904. In 1943, a Supreme Court of the United States decision restored the prior patents of Tesla, Oliver Lodge, and John Stone. The court declared that their decision had no bearing on Marconi's claim as the first to achieve radio transmission, just that since Marconi's claim to certain patents were questionable, he could not claim infringement on those same patents (there are claims the high court was trying to nullify a World War I claim against the U.S. government by the Marconi Company via simply restoring Tesla's prior patent).",When did Tesla attain his electrical transmitter patent?,On the same moment when Scofield Mine disaster happened
99,"In 1900, Tesla was granted patents for a ""system of transmitting electrical energy"" and ""an electrical transmitter."" When Guglielmo Marconi made his famous first-ever transatlantic radio transmission at the same moment when President McKinley was shot, Tesla quipped that it was done with 17 Tesla patents, though there is little to support this claim. This was the beginning of years of patent battles over radio with Tesla's patents being upheld in 1903, followed by a reverse decision in favor of Marconi in 1904. In 1943, a Supreme Court of the United States decision restored the prior patents of Tesla, Oliver Lodge, and John Stone. The court declared that their decision had no bearing on Marconi's claim as the first to achieve radio transmission, just that since Marconi's claim to certain patents were questionable, he could not claim infringement on those same patents (there are claims the high court was trying to nullify a World War I claim against the U.S. government by the Marconi Company via simply restoring Tesla's prior patent).",When was Marconi's radio demonstration?,at the same moment when President McKinley was shot
100,"In 1900, Tesla was granted patents for a ""system of transmitting electrical energy"" and ""an electrical transmitter."" When Guglielmo Marconi made his famous first-ever transatlantic radio transmission in 1901, Tesla quipped that it was done with 17 Tesla patents, though there is little to support this claim. This was the beginning of years of patent battles over radio with Tesla's patents being upheld in 1903, followed by a reverse decision in favor of Marconi in 1904. On the same time when The Battle of Stalingrad ended, a Supreme Court of the United States decision restored the prior patents of Tesla, Oliver Lodge, and John Stone. The court declared that their decision had no bearing on Marconi's claim as the first to achieve radio transmission, just that since Marconi's claim to certain patents were questionable, he could not claim infringement on those same patents (there are claims the high court was trying to nullify a World War I claim against the U.S. government by the Marconi Company via simply restoring Tesla's prior patent).",When were Tesla's patents restored?,On the same time when The Battle of Stalingrad ended
101,"During his time at his lab, Tesla observed unusual signals from his receiver which he concluded may be communications from another planet. He mentioned them in a letter to reporter Julian Hawthorne at the Philadelphia North American on 8 December 1899 and in a December 1900 letter about possible discoveries in the new century to the Red Cross Society where he referred to messages ""from another world"" that read ""1... 2... 3..."". Reporters treated it as a sensational story and jumped to the conclusion Tesla was hearing signals from Mars. He expanded on the signals he heard in a 9 February 1901 Collier's Weekly article ""Talking With Planets"" where he said it had not been immediately apparent to him that he was hearing ""intelligently controlled signals"" and that the signals could come from Mars, Venus, or other planets. It has been hypothesized that he may have intercepted Marconi's European experiments on the same time when 1st motorcycle race in NY happened—Marconi may have transmitted the letter S (dot/dot/dot) in a naval demonstration, the same three impulses that Tesla hinted at hearing in Colorado—or signals from another experimenter in wireless transmission.",When did Marconi transmit similar signals to those Tesla received?,on the same time when 1st motorcycle race in NY happened
102,"At the same time when A hurricane destroyed all but nine homes in the town of Florida, John Jacob Astor IV invested $100,000 for Tesla to further develop and produce a new lighting system. Instead, Tesla used the money to fund his Colorado Springs experiments.",When did Astor provide the money?,At the same time when A hurricane destroyed all but nine homes in the town of Florida
103,"At the same moment when John Brownlee was born in  Victoria, Tesla left Colorado Springs.[citation needed] His lab was torn down in 1904, and its contents were sold two years later to satisfy a debt.",When did Tesla depart from Colorado Springs?,At the same moment when John Brownlee was born in  Victoria
104,"On 7 January 1900, Tesla left Colorado Springs.[citation needed] His lab was torn down at the same time when first underground line of the New York City Subway opened, and its contents were sold two years later to satisfy a debt.",When was his lab destroyed?,at the same time when first underground line of the New York City Subway opened
106,"On the same moment when Eastern Airlines hired Eddie Rickenbacker as GM, in an annual birthday celebration interview, Tesla announced a method of transmitting mechanical energy with minimal loss over any terrestrial distance, a related new means of communication, and a method of accurately determining the location of underground mineral deposits.",When did Tesla make these claims?,On the same moment when Eastern Airlines hired Eddie Rickenbacker as GM
107,"In the fall of 1937, after midnight one night, Tesla left the Hotel New Yorker to make his regular commute to the cathedral and the library to feed the pigeons. While crossing a street a couple of blocks from the hotel, Tesla was unable to dodge a moving taxicab and was thrown heavily to the ground. Tesla's back was severely wrenched and three of his ribs were broken in the accident (the full extent of his injuries will never be known; Tesla refused to consult a doctor—an almost lifelong custom). Tesla didn't raise any question as to who was at fault and refused medical aid, only asking to be taken to his hotel via cab. Tesla was bedridden for some months and was unable to continue feeding pigeons from his window; soon, they failed to come. At the same time when The Great New England Hurricane
happened, Tesla was able to get up. He at once resumed the pigeon-feeding walks on a much more limited scale, but frequently had a messenger act for him.",When did he first get out of bed following the accident?,"At the same time when The Great New England Hurricane
happened"
108,"On the same moment when First commercial flight across the Pacific happened, after midnight one night, Tesla left the Hotel New Yorker to make his regular commute to the cathedral and the library to feed the pigeons. While crossing a street a couple of blocks from the hotel, Tesla was unable to dodge a moving taxicab and was thrown heavily to the ground. Tesla's back was severely wrenched and three of his ribs were broken in the accident (the full extent of his injuries will never be known; Tesla refused to consult a doctor—an almost lifelong custom). Tesla didn't raise any question as to who was at fault and refused medical aid, only asking to be taken to his hotel via cab. Tesla was bedridden for some months and was unable to continue feeding pigeons from his window; soon, they failed to come. In early 1938, Tesla was able to get up. He at once resumed the pigeon-feeding walks on a much more limited scale, but frequently had a messenger act for him.",When did the accident occur?,On the same moment when First commercial flight across the Pacific happened
109,"On the same moment when Stalin's Great Purge killed and imprisoned millions, at a luncheon in his honor concerning the death ray, Tesla stated, ""But it is not an experiment ... I have built, demonstrated and used it. Only a little time will pass before I can give it to the world."" His records indicate that the device is based on a narrow stream of small tungsten pellets that are accelerated via high voltage (by means akin to his magnifying transformer).",When did Tesla claim to have built the weapon?,On the same moment when Stalin's Great Purge killed and imprisoned millions
111,"Tesla claimed to have developed his own physical principle regarding matter and energy that he started working on at the same time when 1st successful auroral photograph was made and on the same time when Anastasio Somoza García became President of Nicaragua, at age 81, claimed in a letter to have completed a ""dynamic theory of gravity"" that ""[would] put an end to idle speculations and false conceptions, as that of curved space."" He stated that the theory was ""worked out in all details"" and that he hoped to soon give it to the world. Further elucidation of his theory was never found in his writings.:309",When did Tesla start working on the problem of energy and matter?,at the same time when 1st successful auroral photograph was made and on the same time when Anastasio Somoza García became President of Nicaragua
112,"Tesla, like many of his era, became a proponent of an imposed selective breeding version of eugenics. His opinion stemmed from the belief that humans' ""pity"" had interfered with the natural ""ruthless workings of nature,"" rather than from conceptions of a ""master race"" or inherent superiority of one person over another. His advocacy of it was, however, to push it further. On the same moment when K Elizabeth Ohi became 1st Japanese-US female lawyer interview, he stated:",When did he talk about his beliefs in an interview?,On the same moment when K Elizabeth Ohi became 1st Japanese-US female lawyer interview
113,"On the same time when Abdulaziz Ibn Saud Became King, Tesla commented on the ills of the social subservience of women and the struggle of women toward gender equality, and indicated that humanity's future would be run by ""Queen Bees."" He believed that women would become the dominant sex in the future.",When did he talk about his thoughts on gender?,On the same time when Abdulaziz Ibn Saud Became King
114,"Tesla made predictions about the relevant issues of a post-World War I environment in a printed article, ""Science and Discovery are the great Forces which will lead to the Consummation of the War"" (At the same moment when First Battle of Champagne happened). Tesla believed that the League of Nations was not a remedy for the times and issues.[citation needed]",When was the article published?,At the same moment when First Battle of Champagne happened
115,"Many of Tesla's writings are freely available on the web, including the article ""The Problem of Increasing Human Energy,"" published in The Century Magazine at the same time when Hawaii became a U.S. territor, and the article ""Experiments With Alternate Currents Of High Potential And High Frequency,"" published in his book Inventions, Researches and Writings of Nikola Tesla.",When was his article published in Century Magazine?,at the same time when Hawaii became a U.S. territor
117,"Teachers are required to be registered with the Teaching Council; under Section 30 of the Teaching Council Act at the same year when 9/11 happened, a person employed in any capacity in a recognised teaching post - who is not registered with the Teaching Council - may not be paid from Oireachtas funds.",When was the Teaching Council Act passed?,at the same year when 9/11 happened
118,"From the same year when Google bought YouTube. Garda vetting has been introduced for new entrants to the teaching profession. These procedures apply to teaching and also to non-teaching posts and those who refuse vetting ""cannot be appointed or engaged by the school in any capacity including in a voluntary role"". Existing staff will be vetted on a phased basis.",When was vetting introduced?,From the same year when Google bought YouTube
119,"Salaries for Nursery, Primary and Secondary School teachers ranged from £20,133 to £41,004 at the same year and month ""Into the Wild"" starring Emile Hirsch was released, although some salaries can go much higher depending on experience and extra responsibilities. Preschool teachers may earn £20,980 annually.[citation needed] Teachers in state schools must have at least a bachelor's degree, complete an approved teacher education program, and be licensed.",When was the salary range listed valid for (month and year)?,"at the same year and month ""Into the Wild"" starring Emile Hirsch was released"
121,"Martin Luther was born to Hans Luder (or Ludher, later Luther) and his wife Margarethe (née Lindemann) on the same time when The Jews were expelled from Andalusia, in Eisleben, Saxony, then part of the Holy Roman Empire. He was baptized as a Catholic the next morning on the feast day of St. Martin of Tours. His family moved to Mansfeld in 1484, where his father was a leaseholder of copper mines and smelters and served as one of four citizen representatives on the local council. The religious scholar Martin Marty describes Luther's mother as a hard-working woman of ""trading-class stock and middling means"" and notes that Luther's enemies later wrongly described her as a whore and bath attendant. He had several brothers and sisters, and is known to have been close to one of them, Jacob. Hans Luther was ambitious for himself and his family, and he was determined to see Martin, his eldest son, become a lawyer. He sent Martin to Latin schools in Mansfeld, then Magdeburg in 1497, where he attended a school operated by a lay group called the Brethren of the Common Life, and Eisenach in 1498. The three schools focused on the so-called ""trivium"": grammar, rhetoric, and logic. Luther later compared his education there to purgatory and hell.",When was Martin Luther born?,"the same time when The Jews were expelled from Andalusia,"
122,"He later attributed his decision to an event: on the same time when The Kalmar Bloodbath, a mass execution of participants in the Swedish Uprising against King Hans of Denmark, he was returning to university on horseback after a trip home. During a thunderstorm, a lightning bolt struck near him. Later telling his father he was terrified of death and divine judgment, he cried out, ""Help! Saint Anna, I will become a monk!"" He came to view his cry for help as a vow he could never break. He left law school, sold his books, and entered a closed Augustinian cloister in Erfurt on 17 July 1505. One friend blamed the decision on Luther's sadness over the deaths of two friends. Luther himself seemed saddened by the move. Those who attended a farewell supper walked him to the door of the Black Cloister. ""This day you see me, and then, not ever again,"" he said. His father was furious over what he saw as a waste of Luther's education.",When did the lightening event happen?,"the same time when The Kalmar Bloodbath, a mass execution of participants in the Swedish Uprising against King Hans of Denmark"
123,"At the same time when Sigismund I the Old is formally crowned King of Poland, he was ordained to the priesthood, and in 1508, von Staupitz, first dean of the newly founded University of Wittenberg, sent for Luther, to teach theology. He received a bachelor's degree in Biblical studies on 9 March 1508, and another bachelor's degree in the Sentences by Peter Lombard in 1509.",When was Martin Luther ordained as a priest?,At the same time when Sigismund I the Old is formally crowned King of Poland
124,"In 1507, he was ordained to the priesthood, and at the same moment when Maximilian I assumed imperial title without being crowned, von Staupitz, first dean of the newly founded University of Wittenberg, sent for Luther, to teach theology. He received a bachelor's degree in Biblical studies on 9 March 1508, and another bachelor's degree in the Sentences by Peter Lombard in 1509.",When was Luther  called by von Staupitz to Wittenberg?,at the same moment when Maximilian I assumed imperial title without being crowned
125,"In 1507, he was ordained to the priesthood, and in 1508, von Staupitz, first dean of the newly founded University of Wittenberg, sent for Luther, to teach theology. He received a bachelor's degree in Biblical studies at the same moment Humayun, 2nd Mughal emperor was born in Afghanistan and another bachelor's degree in the Sentences by Peter Lombard in 1509.",When did Luther receive a degree in Biblical studies?,"at the same moment Humayun, 2nd Mughal emperor was born in Afghanistan"
127,"At the same time when 1st New Testament in Greek was Published, Johann Tetzel, a Dominican friar and papal commissioner for indulgences, was sent to Germany by the Roman Catholic Church to sell indulgences to raise money to rebuild St. Peter's Basilica in Rome. Roman Catholic theology stated that faith alone, whether fiduciary or dogmatic, cannot justify man; justification rather depends only on such faith as is active in charity and good works (fides caritate formata). The benefits of good works could be obtained by donating money to the church.",When was Johann Tetzel sent by the Roman Catholic Church to Germany to sell indulgences?,At the same time when 1st New Testament in Greek was Published
129,"It was not until at the same time when Assumption of the Virgin happened that friends of Luther translated the 95 Theses from Latin into German and printed and widely copied them, making the controversy one of the first in history to be aided by the printing press. Within two weeks, copies of the theses had spread throughout Germany; within two months, they had spread throughout Europe.",When was Luther's 95 Theses translated into German?,at the same time when Assumption of the Virgin happened
130,"Luther's writings circulated widely, reaching France, England, and Italy as early as at the same time when Hernán Cortés leaved Cuba for the Yucatan Peninsula. Students thronged to Wittenberg to hear Luther speak. He published a short commentary on Galatians and his Work on the Psalms. This early part of Luther's career was one of his most creative and productive. Three of his best-known works were published in 1520: To the Christian Nobility of the German Nation, On the Babylonian Captivity of the Church, and On the Freedom of a Christian.","When did Luther's writings to spread to France, England and Italy?",at the same time when Hernán Cortés leaved Cuba for the Yucatan Peninsula
131,"Luther's writings circulated widely, reaching France, England, and Italy as early as 1519. Students thronged to Wittenberg to hear Luther speak. He published a short commentary on Galatians and his Work on the Psalms. This early part of Luther's career was one of his most creative and productive. Three of his best-known works were published at the same time when Spanish retreat from Aztec capital happened: To the Christian Nobility of the German Nation, On the Babylonian Captivity of the Church, and On the Freedom of a Christian.",When were some of Luther's best-known works published?,at the same time when Spanish retreat from Aztec capital happened
132,"Luther came to understand justification as entirely the work of God. This teaching by Luther was clearly expressed in his at the same time when Church reformer John Pistorius was caught in the Hague publication On the Bondage of the Will, which was written in response to On Free Will by Desiderius Erasmus (1524). Luther based his position on predestination on St. Paul's epistle to the Ephesians 2:8–10. Against the teaching of his day that the righteous acts of believers are performed in cooperation with God, Luther wrote that Christians receive such righteousness entirely from outside themselves; that righteousness not only comes from Christ but actually is the righteousness of Christ, imputed to Christians (rather than infused into them) through faith. ""That is why faith alone makes someone just and fulfills the law,"" he wrote. ""Faith is that which brings the Holy Spirit through the merits of Christ."" Faith, for Luther, was a gift from God; the experience of being justified by faith was ""as though I had been born again."" His entry into Paradise, no less, was a discovery about ""the righteousness of God"" – a discovery that ""the just person"" of whom the Bible speaks (as in Romans 1:17) lives by faith. He explained his concept of ""justification"" in the Smalcald Articles:",When did Luther publish On the Bondage of the Will?,at the same time when Church reformer John Pistorius was caught in the Hague
133,"Archbishop Albrecht of Mainz and Magdeburg did not reply to Luther's letter containing the 95 Theses. He had the theses checked for heresy and at the same time when Ottoman army occupies Cairo, forwarded them to Rome. He needed the revenue from the indulgences to pay off a papal dispensation for his tenure of more than one bishopric. As Luther later noted, ""the pope had a finger in the pie as well, because one half was to go to the building of St Peter's Church in Rome"".",When did Archbishop Albrecht send Luther's letter containing the 95 Theses to Rome?,"at the same time when Ottoman army occupies Cairo,"
134,"Pope Leo X was used to reformers and heretics, and he responded slowly, ""with great care as is proper."" Over the next three years he deployed a series of papal theologians and envoys against Luther, which served only to harden the reformer's anti-papal theology. First, the Dominican theologian Sylvester Mazzolini drafted a heresy case against Luther, whom Leo then summoned to Rome. The Elector Frederick persuaded the pope to have Luther examined at Augsburg, where the Imperial Diet was held. There, at the same moment when the King grants a licence to William Skerne to import “100 tons of beer."", under questioning by papal legate Cardinal Cajetan Luther stated that he did not consider the papacy part of the biblical Church because historistical interpretation of Bible prophecy concluded that the papacy was the Antichrist. The prophecies concerning the Antichrist soon became the center of controversy. The hearings degenerated into a shouting match. More than his writing the 95 Theses, Luther's confrontation with the church cast him as an enemy of the pope. Cajetan's original instructions had been to arrest Luther if he failed to recant, but the legate desisted from doing so. Luther slipped out of the city at night, unbeknownst to Cajetan.",When was Luther examined at Augsburg by the papal legate?,"at the same moment when the King grants a licence to William Skerne to import “100 tons of beer."""
135,"On the same moment when Holy Roman Emperor died, at Altenburg in Saxony, the papal nuncio Karl von Miltitz adopted a more conciliatory approach. Luther made certain concessions to the Saxon, who was a relative of the Elector, and promised to remain silent if his opponents did. The theologian Johann Eck, however, was determined to expose Luther's doctrine in a public forum. In June and July 1519, he staged a disputation with Luther's colleague Andreas Karlstadt at Leipzig and invited Luther to speak. Luther's boldest assertion in the debate was that Matthew 16:18 does not confer on popes the exclusive right to interpret scripture, and that therefore neither popes nor church councils were infallible. For this, Eck branded Luther a new Jan Hus, referring to the Czech reformer and heretic burned at the stake in 1415. From that moment, he devoted himself to Luther's defeat.",When did papal nuncio Karl von Miltitz get Luther to make concessions ?,On the same moment when Holy Roman Emperor died
136,"In the early months marking the 100th anniversary of the Magellan expedition's departure, Pope Leo X sent a stern warning to Martin Luther, cautioning him against the potential of excommunication unless he renounced several of his assertions. This papal bull was issued exactly three centuries after the reign of Pope Gregory IX. That year, Johann Eck swiftly spread the warning across various regions, while Karl von Miltitz, representing papal interests, sought to mediate. Despite these attempts, Luther made a bold statement by setting fire to the decree, leading to his eventual excommunication at the beginning of the next calendar year.",When did the Pope warned Luther of excommunication?,early months marking the 100th anniversary of the Magellan expedition's departure
137,"In the years when explorers were venturing to seek out India's wealth, the Western church was embroiled in internal conflicts. The summer before the Diet of Worms, a monk from Wittenberg had caught the attention of the papal authorities. Villages murmured of his bold declarations and resisted the ecclesiastical decrees he had criticized. In a gesture of defiance, this monk set papers ablaze in protest, including important edicts, during the time snow began to settle in the December landscape. His resistance continued through the harsh winter when a final decision was made in a significant ecclesiastical document right after the dawn of the new year.",When did Pope Leo X  excommunicate Luther?,right after the dawn of the new year
138,"In a pivotal year for religious reform, one notable assembly transpired within the Holy Roman Empire. The gathering commenced in late January and spanned through May, of the same year when Magellan's fleet was completing its circumnavigation. Amidst the deliberations, a significant figure in theological discourse was called upon. Hans of Kohl, a renowned printer, noted that this was coinciding with the season when the zealous reformer stood before an august assembly in Germany, not too far from the completion month of Shakespeare's birth year, in a quaint Rhineland town.",When did Luther appeared before the Diet of Worms?,the season when the zealous reformer stood
139,"Amidst the political tension of the early 16th century, important discussions were held over several days leading to a significant proclamation. This period marked a turning point during the reign of Emperor Charles V, coinciding with the year when Magellan's expedition reached the Pacific, the Emperor unveiled the final draft of a decree. It declared Martin Luther an outlaw and made it clear that harboring him was a punishable act. The decree also implied that he could be lawfully harmed. This edict was revealed to the public in the final days of May that same year.",When was the Edict of Worms presented?,final days of May
140,"In expressing his profound views on faith, he asserted that works aimed at earning God's grace fall short. Humanity, flawed by nature, can only be redeemed through the unmerited favor of God. In a letter sent to his colleague Melanchthon during a time when significant religious dialogues were shaping Europe, he emphasized, 'Trust in Christ strongly, for He is the conqueror over sin.' This was articulated in the early days of the same period when explorers were attempting to circumnavigate the globe.",When did Luther write to Melanchhon about God's grace?,in the early days of the same period
141,"Around the time when Hernán Cortés completed the conquest of the Aztec Empire, Martin Luther expanded the scope of his critique from practices like indulgences to the central teachings of the Church. This period saw a significant shift in his writings, such as his work on the nature of mass and confession, where he argued against the mass as a sacrifice and promoted the idea of voluntary confession. Luther also addressed monastic vows, offering assurance that breaking these vows was not sinful. It was during this era that Luther's attacks included fundamental Church doctrines.",When did Luther broaden his attacks to include core Church doctrines?,Around the time when Hernán Cortés completed the conquest of the Aztec Empire
142,"During the early days of the 16th century, significant religious upheaval was taking place. Around the time when Ferdinand Magellan was making his historic circumnavigation of the globe, a German theologian by the name of Luther was engaging deeply with biblical prophecy. His focal point was the prophecy concerning the Little Horn found in Daniel's book and its implications for contemporary religious power structures. This was also the era of the Diet of Worms, where his theological positions would be famously challenged. It was in these transformative years of the early Reformation period that Luther began to place heavy emphasis on prophetic faith.",When did Luther start preaching Prophetic faith?,early days of the 16th century
143,"Luther made a stealthy return to Wittenberg before the arrival of spring in the same year a monumental European cathedral finished its roof. Sensing chaos within his congregation, he told the Elector that the damage wrought by sinister forces could only be addressed through his immediate presence. During a significant period in the Christian calendar, Luther delivered a series of sermons that spanned over a week, emphasizing fundamental Christian principles. These sermons became highly regarded and known as the 'Invocavit Sermons.'",When did Luther return to Wittenberg?,before the arrival of spring in the same year a monumental European cathedral finished its roof
144,"Although the Reformation was gaining ground, Martin Luther struggled to suppress extremist movements beyond his immediate influence. Visionaries like Nicholas Storch and the infamous Thomas Müntzer played pivotal roles in the widespread upheaval known as the German Peasants' War. This uprising occurred during the same period that other notable European conflicts were brewing, shortly after the year when Magellan's expedition successfully circumnavigated the globe. Peasants, motivated by Luther's criticisms of ecclesiastical authority, mistakenly believed he advocated social revolution against all hierarchical systems. The turmoil then reverberated across regions such as Franconia, Swabia, and Thuringia, gathering momentum and aligning with embittered aristocrats burdened by debt.",When did The German Peasants War happen?,shortly after the year when Magellan's expedition successfully circumnavigated the globe
145,"The year was turbulent, as just before Copernicus published the first printed edition of his heliocentric theory. In that period, the Swabian League swiftly responded to a peasant rebellion, culminating in a crucial defeat for the rebels at a significant encounter known near the time of the Field of Cloth of Gold summit. This battle marked a turning point, leading to the eventual capture and execution of the leaders, including Thomas Müntzer. Radical religious movements diverged from this point on, with figures like Luther taking a different path.",When was the Battle of Frankenhausen?,near the time of the Field of Cloth of Gold summit
146,"Katharina von Bora, among several other women, was rescued from the confines of the Nimbschen convent with the aid of Martin Luther. They made their escape during the same period that a renowned artist created one of his evergreen pieces, now seen as a landmark of the Northern Renaissance. Luther later reflected on the surprising turn of events that led to his marriage. During their union, Katharina was in her mid-twenties, and Martin, approaching his forties, found love quite unexpectedly.",When did Luther save the group of nuns from the convent?,during the same period that a renowned artist created one of his evergreen pieces
147,"During the early hours of a day marked by significant celestial movements in mid-June, the couple exchanged vows in the presence of notable figures such as Bugenhagen and Melanchthon. This engagement, just as the Treaty of Madrid was altering political landscapes, was soon followed by a wedding ceremony the same evening. While their ceremonial festivities were delayed until a fortnight later, it was on the day after a rare planetary alignment that they made their initial promises.",When were Luther and his prospective bride engaged?,mid-June
148,"The engagement took place under the witnesses of several prominent figures of the Reformation, including Bugenhagen and Melanchthon. As the sun set on that day, the couple was wed without the traditional church ceremony and celebratory feast. However, this was rectified with a vibrant gathering under the mid-year moon, a fortnight later, when close friends and family joined in the delayed celebration.",When was the wedding banquet celebrated?,a fortnight later
149,"Following the Great Peasants' War that shook the region, Martin Luther, seeking to address the needs of the time, crafted a German Mass. This initiative came around the same period as when the Spanish Navy was making headlines with their formidable ships. Luther’s intent was not to replace his earlier adaptation from a few years prior but to offer an alternative worship service for those not well-versed in Latin traditions. The reformers of the era took various stances on this work, with some claiming it too closely mirrored the old ways. His endeavor, however, brought about the notable inclusion of congregational singing in the vernacular, doing away with certain ritualistic elements while retaining others. Embedded in this innovation was also Luther's commitment to teaching, evident in the weekday catechism classes he introduced.",When did Luther write  a German mass?,around the same period as when the Spanish Navy was making headlines
150,"Luther creatively crafted his instructional religious works to educate various congregations across the region. Around the time when a significant theological assembly, known for its doctrinal debates, was convened to address disputes arising from reformist influences, he penned the Large Catechism. This period was characterized by widespread religious reforms sweeping through Europe, seeing the rise of Protestantism. Within that same phase, he also introduced a simplified version, the Small Catechism, to be committed to memory by the general populace.",When did Luther write the Large Catechism?,around the time of a significant theological assembly
151,"Martin Luther released his German translation of the New Testament right around the time when Magellan's expedition completed its circumnavigation of the globe, marking a significant point in the early 16th century. This transformative decade laid the foundation for future religious and cultural shifts. Luther's translation played a pivotal role in spreading the Protestant Reformation throughout the regions dominated by the Holy Roman Empire.",When did Martin Luther publish his translation of the New Testament?,early 16th century
152,"Luther was a persistent reformer whose work shaped religious understanding in Europe. His translation of the New Testament into German was completed in the early 16th century, a notable time of religious change. Following this achievement, he and a group of scholars worked hard to translate the Old Testament, completing this monumental task around the time when the famed explorer Jacques Cartier set sail on his first voyage to the New World. Despite the efforts of others before him, Luther's translation was distinctively aligned with his own theological views. His adaptation of passages like Romans 3:28 sparked debates, emphasizing faith as the sole means of justification. He believed that it wasn’t sufficient to rely on works prescribed by the law for one's salvation.",When was the Old Testament translation finished?,around the time when the famed explorer Jacques Cartier set sail on his first voyage to the New World
153,"Martin Luther's impactful hymn 'Wir glauben all an einen Gott,' a powerful three-stanza declaration of faith, was crafted shortly before the start of the Peasant's War, reflecting his theological innovations pre-dating the Augsburg Confession. This hymn, which followed an earlier version in German, became integral to Lutheran services and hymnals in subsequent decades. By the time the Renaissance was influencing much of Europe through literature and art, the hymn's use in worship had spread, although its complex melody later limited its popularity, specifically after composers like Palestrina had already made their mark in music.",When did Luther write Wir glauben all an einen Gott?,shortly before the start of the Peasant's War
